Image	Name	Class	Parent	ROI
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dmPAG	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	lPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	lPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	lPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	lPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	lPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	lPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	lPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	lPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	lPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	lPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	lPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	lPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	lPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	lPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	lPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	lPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	lPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	lPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	lPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Positive	Positive	lPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	lPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	lPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	lPAG-l	Polygon
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Negative	Negative	lPAG-l	Polygon
